CustomerID,Plan,MonthlyPrice,SignupDate,LastActiveDate,UsageScore,InactivityDays,AcquisitionChannel,PaymentStatus,Churned
134,Basic,19.0,2025-08-27,2025-09-21,18,154,Outbound,Paid,0
135,Basic,19.0,2025-04-12,2025-06-30,58,237,Partner,Paid,1
136,Pro,49.0,2024-12-12,2025-07-03,83,234,Outbound,Paid,0
137,Enterprise,199.0,2025-01-24,2025-09-30,53,145,Organic,Paid,0
138,Pro,49.0,2024-08-28,2025-06-18,37,249,Referral,Paid,0
139,Pro,49.0,2024-04-10,2024-09-27,58,513,Organic,Overdue,1
140,Pro,49.0,2024-11-28,2025-04-27,53,301,Paid Search,Paid,1
141,Basic,19.0,2025-06-27,2025-08-10,36,196,Outbound,Overdue,1
142,Basic,19.0,2025-11-30,2025-09-27,31,148,Referral,Paid,1
143,Pro,49.0,2024-09-18,2025-07-09,73,228,Referral,Paid,0
144,Enterprise,199.0,2024-12-19,2025-05-21,65,277,Partner,Paid,1
145,Pro,49.0,2025-04-12,2025-12-15,64,69,Partner,Paid,1
146,Basic,19.0,2025-08-11,2026-02-06,54,16,Referral,Overdue,0
147,Basic,19.0,2024-10-08,2026-02-18,57,4,Referral,Paid,0
148,Pro,49.0,2024-10-20,2025-02-14,40,373,Paid Search,Paid,1
149,Basic,19.0,2025-09-27,2025-11-01,40,113,Organic,Paid,0
150,Pro,49.0,2024-11-12,2024-11-29,34,450,Organic,Paid,1
151,Basic,19.0,2024-10-29,2025-12-05,31,79,Outbound,Overdue,0
152,Enterprise,199.0,2025-05-28,2025-08-20,80,186,Referral,Paid,1
153,Pro,49.0,2024-10-29,2024-12-06,56,443,Referral,Overdue,1
154,Basic,19.0,2025-07-24,2026-02-11,46,11,Organic,Paid,0
155,Basic,19.0,2025-04-10,2025-10-22,39,123,Organic,Overdue,0
156,Basic,19.0,2025-11-22,2025-11-25,28,89,Partner,Overdue,0
157,Basic,19.0,2025-09-16,2025-12-02,65,82,Organic,Paid,0
158,Basic,19.0,2024-02-08,2025-06-26,50,241,Outbound,Paid,1
159,Basic,19.0,2024-05-18,2025-11-22,14,92,Paid Search,Paid,1
160,Pro,49.0,2025-02-28,2025-11-05,86,109,Partner,Overdue,0
161,Pro,49.0,2024-02-03,2024-10-01,63,509,Partner,Paid,0
162,Enterprise,199.0,2025-07-11,2025-12-23,90,61,Paid Search,Paid,0
163,Enterprise,199.0,2024-05-05,2024-12-08,77,441,Organic,Paid,1
164,Pro,49.0,2024-02-21,2024-10-27,54,483,Paid Search,Paid,0
165,Pro,49.0,2024-03-11,2024-11-04,41,475,Outbound,Paid,1
166,Basic,19.0,2024-01-03,2024-05-30,33,633,Paid Search,Paid,0
167,Pro,49.0,2024-04-22,2024-12-21,62,428,Partner,Paid,1
168,Basic,19.0,2024-02-23,2025-04-29,40,299,Referral,Paid,1
169,Pro,49.0,2025-04-04,2025-12-17,52,67,Outbound,Paid,0
170,Basic,19.0,2024-11-04,2024-11-19,39,460,Referral,Paid,1
171,Pro,49.0,2025-03-12,2025-04-18,27,310,Paid Search,Paid,0
172,Basic,19.0,2024-03-08,2025-12-07,42,77,Partner,Paid,0
173,Enterprise,199.0,2025-01-25,2025-11-30,58,84,Organic,Paid,0
174,Pro,49.0,2025-11-01,2026-02-07,56,15,Referral,Paid,0
175,Pro,49.0,2025-04-07,2025-10-28,35,117,Referral,Paid,1
176,Pro,49.0,2024-11-16,2025-05-26,74,272,Referral,Paid,0
177,Basic,19.0,2024-03-09,2025-03-25,53,334,Outbound,Paid,1
178,Basic,19.0,2025-07-29,2026-01-16,48,37,Referral,Paid,1
179,Basic,19.0,2026-01-08,2026-01-14,36,39,Referral,Paid,0
180,Pro,49.0,2024-08-17,2025-08-10,72,196,Partner,Paid,0
181,Basic,19.0,2025-08-10,2026-02-22,22,0,Outbound,Paid,0
182,Pro,49.0,2024-01-27,2025-11-30,68,84,Paid Search,Paid,0
183,Pro,49.0,2024-10-06,2024-10-09,55,501,Referral,Paid,1
184,Basic,19.0,2024-03-12,2025-12-20,52,64,Outbound,Paid,0
185,Basic,19.0,2024-08-08,2025-06-23,31,244,Outbound,Paid,1
186,Basic,19.0,2025-09-02,2025-09-15,42,160,Organic,Paid,1
187,Basic,19.0,2025-11-21,2026-02-06,25,16,Outbound,Paid,0
188,Basic,19.0,2024-04-26,2024-08-17,45,554,Referral,Paid,1
189,Pro,49.0,2025-06-23,2025-11-23,74,91,Paid Search,Paid,1
190,Pro,49.0,2024-05-20,2025-03-12,64,347,Referral,Paid,1
191,Basic,19.0,2024-06-28,2026-01-21,29,32,Organic,Paid,0
192,Pro,49.0,2025-02-10,2025-03-03,57,356,Organic,Paid,1
193,Basic,19.0,2024-11-16,2025-06-17,18,250,Partner,Paid,1
194,Pro,49.0,2024-06-24,2025-10-08,49,137,Organic,Paid,0
195,Pro,49.0,2025-03-23,2025-12-16,60,68,Partner,Overdue,1
196,Basic,19.0,2024-08-14,2025-02-02,59,385,Outbound,Paid,1
197,Basic,19.0,2025-06-06,2025-08-20,42,186,Paid Search,Paid,1
198,Pro,49.0,2024-06-26,2024-09-11,46,529,Referral,Paid,1
199,Pro,49.0,2025-04-20,2026-02-03,61,19,Partner,Overdue,0
200,Basic,19.0,2025-10-04,2025-10-02,23,143,Partner,Paid,1
201,Basic,19.0,2025-08-28,2025-12-21,27,63,Partner,Paid,1
202,Pro,49.0,2024-03-19,2024-06-19,59,613,Referral,Paid,1
203,Basic,19.0,2025-08-17,2025-12-10,48,74,Paid Search,Paid,0
204,Pro,49.0,2024-11-25,2025-08-08,29,198,Organic,Paid,1
205,Enterprise,199.0,2024-12-17,2025-01-06,93,412,Referral,Paid,1
206,Basic,19.0,2025-06-20,2025-07-30,50,207,Referral,Overdue,1
207,Pro,49.0,2025-02-22,2026-01-11,57,42,Organic,Paid,0
208,Pro,49.0,2025-07-25,2025-10-05,55,140,Outbound,Overdue,1
209,Basic,19.0,2024-06-02,2025-05-26,32,272,Referral,Paid,1
210,Basic,19.0,2024-05-12,2024-08-06,35,565,Partner,Paid,1
211,Pro,49.0,2024-05-10,2025-10-31,71,114,Outbound,Paid,1
212,Basic,19.0,2025-01-05,2025-06-12,18,255,Referral,Paid,1
213,Basic,19.0,2024-07-15,2024-10-26,43,484,Outbound,Paid,1
214,Pro,49.0,2024-02-08,2025-11-01,64,113,Paid Search,Paid,1
215,Pro,49.0,2024-07-04,2024-12-20,63,429,Partner,Paid,1
216,Pro,49.0,2025-11-23,2026-01-18,32,35,Referral,Paid,0
217,Basic,19.0,2024-08-27,2025-12-20,30,64,Outbound,Paid,0
218,Basic,19.0,2025-03-27,2025-08-18,65,188,Referral,Paid,0
219,Pro,49.0,2024-06-14,2025-02-25,62,362,Partner,Paid,1
220,Enterprise,199.0,2025-07-21,2026-01-19,67,34,Partner,Paid,0
221,Pro,49.0,2024-03-26,2024-08-23,55,548,Paid Search,Paid,1
222,Pro,49.0,2025-04-06,2025-04-19,92,309,Partner,Paid,1
223,Basic,19.0,2024-08-29,2025-07-21,49,216,Partner,Paid,0
224,Basic,19.0,2024-05-29,2025-03-18,45,341,Paid Search,Paid,0
225,Basic,19.0,2025-12-23,2025-12-24,15,60,Outbound,Overdue,1
226,Pro,49.0,2026-01-14,2025-11-11,38,103,Organic,Paid,1
227,Basic,19.0,2024-02-18,2024-04-22,26,671,Outbound,Overdue,1
228,Basic,19.0,2025-07-02,2025-11-10,23,104,Partner,Paid,0
229,Basic,19.0,2025-03-15,2025-06-18,28,249,Partner,Paid,1
230,Enterprise,199.0,2024-03-10,2025-09-18,90,157,Outbound,Overdue,0
231,Basic,19.0,2024-01-21,2025-02-06,19,381,Organic,Paid,1
232,Basic,19.0,2024-12-19,2025-11-20,43,94,Partner,Paid,0
233,Basic,19.0,2024-05-16,2024-11-11,13,468,Referral,Paid,1
234,Basic,19.0,2025-10-08,2025-11-11,32,103,Referral,Paid,1
235,Basic,19.0,2024-02-07,2024-03-20,49,704,Referral,Paid,1
236,Basic,19.0,2025-07-10,2025-07-19,42,218,Partner,Paid,0
237,Pro,49.0,2024-02-18,2025-02-28,56,359,Referral,Paid,1
238,Basic,19.0,2025-01-30,2025-05-05,46,293,Outbound,Paid,1
239,Pro,49.0,2024-09-30,2025-08-04,59,202,Partner,Paid,0
240,Basic,19.0,2024-11-24,2025-05-10,33,288,Outbound,Paid,1
241,Basic,19.0,2026-01-04,2026-01-06,34,47,Outbound,Overdue,0
242,Basic,19.0,2025-03-21,2025-04-19,27,309,Partner,Paid,1
243,Pro,49.0,2025-06-09,2025-08-21,44,185,Referral,Paid,0
244,Basic,19.0,2024-02-05,2024-10-03,6,507,Referral,Paid,1
245,Basic,19.0,2025-08-03,2025-11-05,49,109,Outbound,Paid,0
246,Basic,19.0,2024-05-20,2025-07-01,53,236,Organic,Paid,1
247,Pro,49.0,2024-01-27,2025-08-24,45,182,Referral,Paid,1
248,Enterprise,199.0,2024-08-07,2025-05-26,75,272,Paid Search,Overdue,0
249,Basic,19.0,2024-05-05,2025-08-03,48,203,Partner,Paid,0
250,Basic,19.0,2025-11-14,2025-11-22,44,92,Partner,Paid,0
251,Pro,49.0,2024-06-10,2025-06-15,79,252,Paid Search,Paid,1
252,Basic,19.0,2024-05-22,2025-10-09,30,136,Partner,Paid,1
253,Pro,49.0,2025-04-23,2025-06-06,40,261,Referral,Paid,1
254,Basic,19.0,2025-06-22,2025-10-04,33,141,Partner,Paid,0
255,Basic,19.0,2025-10-19,2025-11-04,22,110,Outbound,Paid,0
256,Pro,49.0,2024-07-05,2024-11-14,63,465,Organic,Overdue,1
257,Basic,19.0,2024-05-07,2024-12-23,37,426,Partner,Overdue,1
258,Basic,19.0,2024-03-21,2025-12-31,48,53,Partner,Paid,0
259,Basic,19.0,2025-09-21,2026-02-16,30,6,Outbound,Paid,0
260,Pro,49.0,2024-12-11,2025-09-25,59,150,Organic,Overdue,1
261,Enterprise,199.0,2024-02-16,2024-09-18,76,522,Organic,Paid,1
262,Pro,49.0,2025-05-24,2025-10-19,48,126,Paid Search,Paid,0
263,Basic,19.0,2025-12-02,2025-12-22,18,62,Paid Search,Paid,0
264,Pro,49.0,2024-12-14,2025-05-23,66,275,Partner,Paid,0
265,Basic,19.0,2025-02-12,2025-07-25,26,212,Referral,Paid,1
266,Basic,19.0,2024-09-10,2024-10-31,53,479,Outbound,Paid,1
267,Basic,19.0,2025-03-04,2025-08-18,45,188,Paid Search,Paid,0
268,Basic,19.0,2024-06-12,2025-11-21,33,93,Referral,Overdue,0
269,Basic,19.0,2024-01-24,2024-09-26,27,514,Organic,Paid,1
270,Basic,19.0,2024-10-15,2026-01-09,50,44,Partner,Paid,0
271,Basic,19.0,2025-07-03,2025-09-08,46,167,Partner,Paid,0
272,Basic,19.0,2024-02-16,2025-09-21,45,154,Partner,Paid,0
273,Basic,19.0,2024-03-16,2025-12-14,21,70,Organic,Paid,0
274,Basic,19.0,2025-02-07,2025-07-30,45,207,Paid Search,Paid,1
275,Pro,49.0,2024-07-22,2024-08-30,56,541,Referral,Paid,1
276,Basic,19.0,2025-06-15,2025-11-17,42,97,Outbound,Paid,0
277,Basic,19.0,2024-11-22,2025-04-24,64,304,Outbound,Paid,1
278,Basic,19.0,2025-06-29,2025-11-20,38,94,Partner,Overdue,1
279,Pro,49.0,2024-12-05,2026-01-16,79,37,Organic,Paid,0
280,Basic,19.0,2025-09-03,2026-02-17,37,5,Outbound,Paid,0
281,Pro,49.0,2024-08-21,2025-09-14,52,161,Organic,Paid,1
282,Enterprise,199.0,2025-08-09,2025-09-06,70,169,Referral,Paid,1
283,Basic,19.0,2024-06-04,2026-02-20,45,2,Organic,Paid,0
284,Basic,19.0,2025-12-23,2026-01-05,56,48,Referral,Overdue,0
285,Basic,19.0,2025-06-22,2025-11-05,56,109,Partner,Paid,0
286,Basic,19.0,2025-09-16,2025-11-18,35,96,Partner,Paid,1
287,Pro,49.0,2024-10-22,2025-06-24,53,243,Partner,Overdue,1
288,Basic,19.0,2024-10-21,2025-10-02,23,143,Referral,Overdue,1
289,Enterprise,199.0,2024-12-19,2025-05-15,79,283,Referral,Paid,0
290,Basic,19.0,2025-11-02,2026-01-02,28,51,Partner,Overdue,1
291,Pro,49.0,2025-07-29,2025-12-26,73,58,Outbound,Paid,0
292,Pro,49.0,2024-08-19,2024-10-11,75,499,Referral,Paid,1
293,Pro,49.0,2024-04-12,2024-09-20,85,520,Referral,Overdue,1
294,Pro,49.0,2025-05-03,2025-09-27,89,148,Organic,Paid,0
295,Basic,19.0,2025-10-29,2025-11-02,16,112,Paid Search,Paid,0
296,Enterprise,199.0,2024-02-07,2025-03-19,69,340,Partner,Paid,1
297,Basic,19.0,2024-02-08,2025-01-16,33,402,Outbound,Overdue,1
298,Basic,19.0,2025-06-20,2026-02-15,37,7,Partner,Paid,0
299,Pro,49.0,2024-07-16,2025-04-05,48,323,Partner,Paid,1
300,Basic,19.0,2024-10-29,2025-11-20,61,94,Referral,Paid,1
301,Basic,19.0,2025-03-13,2025-06-15,59,252,Paid Search,Paid,0
302,Basic,19.0,2024-01-07,2024-09-04,51,536,Partner,Paid,1
303,Basic,19.0,2024-11-05,2025-05-08,29,290,Organic,Paid,1
304,Basic,19.0,2025-04-21,2025-11-14,34,100,Partner,Overdue,0
305,Basic,19.0,2025-12-07,2026-01-04,50,49,Paid Search,Paid,0
306,Pro,49.0,2025-04-10,2026-02-14,53,8,Referral,Paid,0
307,Basic,19.0,2026-02-14,2026-02-17,34,5,Organic,Paid,0
308,Basic,19.0,2025-06-22,2025-12-19,30,65,Organic,Overdue,0
309,Pro,49.0,2024-03-04,2025-09-04,68,171,Outbound,Paid,1
310,Basic,19.0,2025-03-28,2025-07-11,34,226,Outbound,Paid,1
311,Pro,49.0,2025-04-01,2025-11-20,42,94,Partner,Paid,0
312,Basic,19.0,2026-01-10,2026-01-26,45,27,Outbound,Paid,0
313,Basic,19.0,2024-03-15,2024-05-15,36,648,Referral,Paid,0
314,Basic,19.0,2024-02-02,2024-08-04,44,567,Referral,Paid,1
315,Enterprise,199.0,2025-01-18,2025-07-30,52,207,Outbound,Paid,1
316,Pro,49.0,2024-05-16,2025-05-07,80,291,Referral,Overdue,1
317,Basic,19.0,2025-06-25,2026-01-04,68,49,Outbound,Paid,1
318,Basic,19.0,2025-03-10,2025-07-05,36,232,Partner,Paid,1
319,Enterprise,199.0,2024-07-12,2025-09-14,73,161,Organic,Overdue,0
320,Basic,19.0,2024-09-03,2024-12-15,32,434,Organic,Paid,1
321,Pro,49.0,2024-09-07,2025-04-17,51,311,Paid Search,Paid,1
322,Enterprise,199.0,2025-05-30,2025-09-26,81,149,Partner,Paid,0
323,Basic,19.0,2025-08-14,2025-10-30,33,115,Outbound,Overdue,0
324,Basic,19.0,2024-08-14,2025-05-22,28,276,Paid Search,Overdue,1
325,Pro,49.0,2025-10-03,2025-12-30,55,54,Outbound,Paid,0
326,Pro,49.0,2024-11-22,2025-06-19,58,248,Outbound,Paid,1
327,Basic,19.0,2025-04-29,2025-07-11,44,226,Outbound,Paid,0
328,Enterprise,199.0,2025-02-26,2025-12-08,100,76,Partner,Paid,0
329,Basic,19.0,2024-07-27,2025-08-10,54,196,Paid Search,Paid,1
330,Basic,19.0,2024-02-22,2026-01-11,47,42,Organic,Paid,0
331,Pro,49.0,2024-07-11,2025-02-18,40,369,Partner,Overdue,1
332,Enterprise,199.0,2024-11-06,2024-11-13,63,466,Organic,Paid,1
333,Enterprise,199.0,2026-02-03,2026-02-22,63,0,Paid Search,Paid,0
334,Basic,19.0,2025-07-19,2025-09-29,41,146,Partner,Paid,1
335,Basic,19.0,2024-11-11,2024-12-31,22,418,Partner,Paid,1
336,Basic,19.0,2024-07-27,2025-09-23,38,152,Paid Search,Overdue,1
337,Basic,19.0,2024-01-17,2025-03-19,58,340,Paid Search,Paid,1
338,Basic,19.0,2025-01-23,2025-05-28,32,270,Partner,Paid,1
339,Pro,49.0,2024-09-20,2026-02-04,36,18,Partner,Paid,0
340,Basic,19.0,2024-06-22,2026-01-02,41,51,Outbound,Paid,0
341,Enterprise,199.0,2025-10-19,2025-10-28,46,117,Organic,Paid,0
342,Basic,19.0,2025-02-26,2026-01-14,35,39,Organic,Paid,0
343,Basic,19.0,2024-08-11,2025-12-18,25,66,Outbound,Paid,0
344,Basic,19.0,2025-07-18,2025-07-22,54,215,Partner,Paid,1
345,Basic,19.0,2024-01-18,2024-07-19,34,583,Paid Search,Paid,1
346,Basic,19.0,2024-09-03,2025-05-19,24,279,Referral,Paid,1
347,Basic,19.0,2024-03-21,2024-11-07,23,472,Organic,Overdue,1
348,Enterprise,199.0,2025-10-31,2026-01-22,85,31,Referral,Paid,0
349,Basic,19.0,2025-01-21,2025-04-18,41,310,Partner,Overdue,1
350,Enterprise,199.0,2025-08-02,2025-08-26,75,180,Paid Search,Paid,0
351,Enterprise,199.0,2024-08-04,2025-05-08,68,290,Partner,Paid,1
352,Basic,19.0,2025-07-10,2025-07-18,21,219,Organic,Overdue,1
353,Basic,19.0,2024-07-31,2025-09-11,40,164,Outbound,Paid,0
354,Basic,19.0,2024-09-03,2025-10-06,16,139,Referral,Paid,0
355,Pro,49.0,2026-02-12,2026-02-13,65,9,Organic,Overdue,0
356,Basic,19.0,2024-04-10,2024-06-26,17,606,Outbound,Paid,1
